task,variety_exposure,word_type,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Spelling,No Dialect,Untrained,Correct,80,0.32708333333333334,0.3322172771976733,0.037143020755694416,0.07393133347175397
Spelling,No Dialect,Untrained,Dialect Word Match,80,0,0,0,0
Spelling,No Dialect,Untrained,Dialect Word Mismatch,80,0,0,0,0
Spelling,No Dialect,Untrained,Standard Word Mismatch,80,0,0,0,0
Spelling,No Dialect,Untrained,Other Mismatch,80,0.6729166666666667,0.3322172771976733,0.037143020755694416,0.07393133347175397
Spelling,Dialect,Non-contrastive,Correct,80,0.3208333333333333,0.26243343540196556,0.029340950056379742,0.058401700208072754
Spelling,Dialect,Non-contrastive,Dialect Word Match,80,0,0,0,0
Spelling,Dialect,Non-contrastive,Dialect Word Mismatch,80,0.005833333333333334,0.018956608977082002,0.0021194133147819055,0.004218586677972177
Spelling,Dialect,Non-contrastive,Standard Word Mismatch,80,0.07166666666666667,0.08986628604259002,0.010047356223833591,0.019998762307986563
Spelling,Dialect,Non-contrastive,Other Mismatch,80,0.6016666666666667,0.3246939487233366,0.03630188706141058,0.07225709873313509
Spelling,Dialect,Contrastive,Correct,80,0.31,0.2647823722254754,0.029603569176990762,0.058924430491903414
Spelling,Dialect,Contrastive,Dialect Word Match,80,0,0,0,0
Spelling,Dialect,Contrastive,Dialect Word Mismatch,80,0.0275,0.05682034262609011,0.00635270743083832,0.012644747841242634
Spelling,Dialect,Contrastive,Standard Word Mismatch,80,0.10666666666666666,0.11003132145815758,0.012301875721728582,0.02448627111653957
Spelling,Dialect,Contrastive,Other Mismatch,80,0.5558333333333333,0.3498754047869387,0.03911725943794251,0.07786095727187914
Spelling,Dialect,Untrained,Correct,80,0.3020833333333333,0.30708207738380244,0.034332819985101654,0.06833776875713873
Spelling,Dialect,Untrained,Dialect Word Match,80,0,0,0,0
Spelling,Dialect,Untrained,Dialect Word Mismatch,80,0,0,0,0
Spelling,Dialect,Untrained,Standard Word Mismatch,80,0,0,0,0
Spelling,Dialect,Untrained,Other Mismatch,80,0.6979166666666666,0.30708207738380244,0.034332819985101654,0.06833776875713873
Spelling,Dialect & Social,Non-contrastive,Correct,80,0.2875,0.2691014898032822,0.030086461202330272,0.0598856030252589
Spelling,Dialect & Social,Non-contrastive,Dialect Word Match,80,0,0,0,0
Spelling,Dialect & Social,Non-contrastive,Dialect Word Mismatch,80,0.0016666666666666666,0.010473998345914084,0.0011710286148842123,0.0023308741526817767
Spelling,Dialect & Social,Non-contrastive,Standard Word Mismatch,80,0.0825,0.1051387135445106,0.011754865527620176,0.023397474560678474
Spelling,Dialect & Social,Non-contrastive,Other Mismatch,80,0.6283333333333333,0.34286375654996776,0.03833333333333333,0.07630059139215492
Spelling,Dialect & Social,Contrastive,Correct,80,0.2791666666666667,0.2814656736746111,0.03146881898346017,0.06263711736132216
Spelling,Dialect & Social,Contrastive,Dialect Word Match,80,0,0,0,0
Spelling,Dialect & Social,Contrastive,Dialect Word Mismatch,80,0.024166666666666666,0.04889064694447997,0.00546614050158998,0.010880080510537194
Spelling,Dialect & Social,Contrastive,Standard Word Mismatch,80,0.1,0.11125166918262952,0.012438314745133903,0.024757846199360285
Spelling,Dialect & Social,Contrastive,Other Mismatch,80,0.5966666666666667,0.37366170007652477,0.04177664809796239,0.08315433798929932
